session_id,round,decision_index,stage,current_player,state,legal_actions,chosen_action,reward,done
20250331012355,3,1,first,0,"{'round': 3, 'stage': 'first', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 16, 'chips': '4;3;7', 'betting_history': 'bet,raise,fold,raise', 'highest_bet': 7, 'last_bettor': 0}","[2, 3, 4]",4,10,True
20250331012355,3,2,first,1,"{'round': 3, 'stage': 'first', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 17, 'chips': '4;2;7', 'betting_history': 'bet,raise,fold,raise,call', 'highest_bet': 7, 'last_bettor': 0}","[2, 3, 4]",2,-9,True
20250331012635,3,1,second,0,"{'round': 3, 'stage': 'second', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 18, 'chips': '3;2;7', 'betting_history': 'bet', 'highest_bet': 8, 'last_bettor': 0}","[0, 1]",1,10,True
20250331012635,3,2,second,1,"{'round': 3, 'stage': 'second', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 19, 'chips': '3;1;7', 'betting_history': 'bet,call', 'highest_bet': 8, 'last_bettor': 0}","[2, 3, 4]",2,-9,True
20250331231757,1,1,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 4, 'chips': '8;9;9', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,-3,True
20250331231758,1,2,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 5, 'chips': '8;8;9', 'betting_history': 'bet,call', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",2,4,True
20250331231758,1,3,first,2,"{'round': 1, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 5, 'chips': '8;8;9', 'betting_history': 'bet,call,fold', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",3,-1,True
20250331231804,1,1,second,0,"{'round': 1, 'stage': 'second', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 6, 'chips': '7;8;9', 'betting_history': 'bet', 'highest_bet': 2, 'last_bettor': 0}","[0, 1]",1,-3,True
20250331231804,1,2,second,1,"{'round': 1, 'stage': 'second', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 7, 'chips': '7;7;9', 'betting_history': 'bet,call', 'highest_bet': 2, 'last_bettor': 0}","[2, 3, 4]",2,4,True
20250331231818,2,0,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'A', 'player2_card': 'K', 'pot': 3, 'chips': '6;13;8', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-5,False
