session_id,round,decision_index,stage,current_player,state,legal_actions,chosen_action,reward,done
20250401144536,12,1,second,2,"{'round': 12, 'stage': 'second', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 16, 'chips': '11;0;3', 'betting_history': 'bet,raise', 'highest_bet': 11, 'last_bettor': 2}","[2, 3, 4]",4,-14,False
20250401144537,12,1,second,0,"{'round': 12, 'stage': 'second', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 27, 'chips': '0;0;3', 'betting_history': 'bet,raise,raise', 'highest_bet': 13, 'last_bettor': 0}","[2, 3, 4]",4,15,True
20250401144538,12,2,second,2,"{'round': 12, 'stage': 'second', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 29, 'chips': '0;0;1', 'betting_history': 'bet,raise,raise,call', 'highest_bet': 13, 'last_bettor': 0}","[2, 3, 4]",2,-14,True
20250401144540,13,0,first,0,"{'round': 13, 'stage': 'first', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 3, 'chips': '28;-1;0', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,2,True
20250401144541,13,1,first,1,"{'round': 13, 'stage': 'first', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 3, 'chips': '28;-1;0', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144542,13,2,first,2,"{'round': 13, 'stage': 'first', 'current_player': 2, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 3, 'chips': '28;-1;0', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144543,14,1,first,0,"{'round': 14, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '29;-2;-1', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,2,True
20250401144544,14,2,first,1,"{'round': 14, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '29;-2;-1', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144545,14,3,first,2,"{'round': 14, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '29;-2;-1', 'betting_history': 'bet,fold,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144546,15,0,first,0,"{'round': 15, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 3, 'chips': '32;-3;-2', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250401144547,15,1,first,1,"{'round': 15, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 3, 'chips': '32;-3;-2', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144548,15,2,first,2,"{'round': 15, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 3, 'chips': '32;-3;-2', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,2,True
20250401144549,16,1,first,0,"{'round': 16, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 4, 'chips': '30;-4;0', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,2,True
20250401144550,16,2,first,1,"{'round': 16, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 4, 'chips': '30;-4;0', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144551,16,3,first,2,"{'round': 16, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 4, 'chips': '30;-4;0', 'betting_history': 'bet,fold,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144552,17,0,first,0,"{'round': 17, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 3, 'chips': '33;-5;-1', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,2,True
20250401144553,17,1,first,1,"{'round': 17, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 3, 'chips': '33;-5;-1', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144554,17,2,first,2,"{'round': 17, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 3, 'chips': '33;-5;-1', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144555,18,1,first,0,"{'round': 18, 'stage': 'first', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 4, 'chips': '34;-6;-2', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,2,True
20250401144556,18,2,first,1,"{'round': 18, 'stage': 'first', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 4, 'chips': '34;-6;-2', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144557,18,3,first,2,"{'round': 18, 'stage': 'first', 'current_player': 2, 'player0_card': 'A', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 4, 'chips': '34;-6;-2', 'betting_history': 'bet,fold,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144558,19,0,first,0,"{'round': 19, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'A', 'pot': 3, 'chips': '37;-7;-3', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250401144559,19,1,first,1,"{'round': 19, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'A', 'pot': 3, 'chips': '37;-7;-3', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144600,19,2,first,2,"{'round': 19, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'A', 'pot': 3, 'chips': '37;-7;-3', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,2,True
20250401144601,20,0,first,0,"{'round': 20, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 3, 'chips': '36;-8;-1', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250401144602,20,1,first,1,"{'round': 20, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 3, 'chips': '36;-8;-1', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
